5.0,"Great upgrade
  
","October 31, 2019",Yes,I bought this as an upgrade from my echo 2nd gen. I use it in my bathroom so I can listen to music. It took me by surprise when it made the shower floor rattle a bit. Overall great product.UPDATEApparently the new echo didnt like sharing the pedestal with my ceramic bird like my old echo did. Why do I say this? It shook it right off! Overall still a great product.,16
4.0,"Better Sound
  
","November 14, 2019",Yes,"This is a big upgrade in sound over the Echo dot.  While we use it often in our kitchen, know that it is not high end quality sound - what do you expect from one small speaker.  It is plenty good enough for an enjoyable listening experience, especially for background music while working/cooking.  In comparison, the Echo dot sound was just too poor quality to enjoy without hooking up an auxiliary speaker and so we only used it occasionally.  I was surprised that this new unit defaults to Amazon Music rather than Prime music and so we started getting commercials mixed in to our music stream.  It takes time to get the commands right to connect to Prime music without commercials - not an issue we had with the Echo dot that this unit replaced.",12
5.0,"Another great ECHO!!
  
","October 18, 2019",Yes,"Set-up took all of 30 seconds.Great,customizable sound. Good bass for rock;good overall sound for classical. Looks nice,too!I hope that,in the near future,I can pair my  DOT,3rd gen for even more immersive sound.Overall,very pleased!!!",14
1.0,"Don't waste your time.
  
","December 4, 2019",Yes,"We got this and was very excited to use it.  However it would not connect.  We tried every way possible.  We tried it thru the app on the phone, thru an amazon tablet, thru a Microsoft surface.  Nothing would work.  We called support.  They needed access to our computer, so I allowed it.  They did all kinds of stuff but not once did they try to connect the device.  I could see everything they were doing.  They had us putting in passwords to the connection etc.. They said our network was at risk etc.  then they tried to sell us stuff. This is the number that was given when it said to call support immediately by the way.  So after we got off the phone with support, we run a scan and all of the sudden our network is not safe....go figure.  My husband is very tech savy and he was quite sure they did something especially since they tried us to buy software to ""fix our network"" and never once tried to connect to the device.  So we had to fix that and then do a factory reset on all of our devices.  I even looked online and tried other option such as rebooting the modem, the router, the echo.  ABSOLUTELY NOTHING WORKED.  The phone we tried to use is a Samsung S10 PLus.I DO NOT RECOMMED THIS PRODUCT!",10
5.0,"Better than Sonos for way less money? In many cases yes!
  
","November 6, 2019",Yes,"I like this better than my Sonos system with Alexa. You can pair Echos to play throughout your home, and it's easier than trying to setup my Sonos to do the same. You can control the Echo via voice, Alexa app, or through the Amazon Music app. All of these are leaps better than the buggy Sonos app. The sound quality is fantastic and the value for your money is higher than any competitor. I do believe I will be purchasing Amazon Echos from here on out.",10
5.0,"Amazon Echo Does It Again!
  
","October 20, 2019",Yes,"I suppose most people are wondering the obvious? Does it have any new features? Does it go well with your decor? Can you order a pizza and in fact, have Alexa pay for it? OK, that one I haven't tried yet... but I will tell you that it is an upgrade, looks sleeker than older versions, and the sound packs a  punch!Some services like apple music are atrocious! The service doesn't stay connected, and it's hardly useable. I venture to guess that this issue is fixable but this far is a letdown.If you're looking for a smart assistant that is extremely useful and always works... look no further! You won't regret it!",11
5.0,"The new echo is very responsive. Will be buying addons
  
","October 18, 2019",Yes,"Just set up the new Echo 3rd generation and alexa is very responsive, great sound quality, and you can easily connect other premium services. Just trying to figure out how to connect Netflix.",13
5.0,,"October 18, 2019",No,None,0
1.0,"No blue tooth.
  
","November 6, 2019",Yes,"Why does my gen2 Alexa have blue tooth, but this new gen3 doesn’t?  If blue tooth doesn’t work, it’s likely I’m sending it back and not buying anymore echo products.  I don’t read anywhere that clearly says we took blue tooth away.  It says it’s the same thing just a few enhancements to speakers and such.",10
5.0,"Very happy with it!
  
","December 1, 2019",Yes,"I am very disappointed in this. I have been using the Echo Dot for a month and thought I would come up with the perfect anniversary gift for our 30th. The Echo is muffled and is absolutely not worth the 70 dollar price difference. On top of that it goes on sale $40 less than what I paid to add insult to injury. Because it was over 7 days I could not get a price adjustment. Should have had our anniversary a couple weeks sooner!People at work are waiting for my feedback to see if they should go with one of these and I can say with full confidence they need to pass on this one.Update:20 minutes after I posted this review my phone rang and it was a wonderful person from Amazon by the name of Kristina. She apologized for my experience and showed me how to adjust the bass, treble and midrange to give me the sound the device was meant to put out. She also arranged for me to return the Echo and buy another one to get the sale price. This is the gold standard of customer service that other businesses should strive for.  Thank you for caring!",7
5.0,"Overall really nice product with good sound quality.
  
","October 19, 2019",Yes,"I mainly use this Alexa as a speaker for my music. The sound quality on this Alexa is better than on the previous Alexa in my opinion. It's super easy to set up and use. I often change the location of my Alexa as well because as I said I mainly use it as a speaker.  It does really well if you need to unplug it and and plug it in in another location (as in it'll connect to the wifi on it's own and you can use it as you normally would without any hassle). I got the charcoal color and it's very nice visually. The Alexa app is also very convenient to use with it. You can personalize the sound of the bass and other mixes too. Overall, I say it's a really nice product. The packaging was super nice and felt high quality as well. No problems with shipping too.",8
5.0,"Great companion for an elderly person ... the sound is GREAT
  
","November 9, 2019",Yes,"Great so far (2 weeks). I bought it for my elderly aunt (94 years old) and she loves it since she just talks to it and it turns on the radio and she has someone to talk to in the morning.The only problem is she keeps calling her ""Alexis"" instead of ""Alexa"" ... lol. But she is finally getting the name right. Overall, it works great. She keeps the volume up rather high which is why I bought the Echo instead of the smaller one and the sound is great.We'll see who lasts longer.",7
5.0,"Awesome ! I recommend this over the G word.
  
","November 25, 2019",Yes,"I have tried Alexa and I have tried the G word and the A word out performs the G word any day. I lost connection over and over with the G word and so far after more than a month, I have never lost connection with Miss Alexa so I am very happy and being a prime member And being able to pay for it monthly you just can’t beat that so thank you Amazon you will have a prime member as long as I’m around.The bass quality is awesome....the sound quality, and if you don’t know the difference i’m sorry, is awesome and me being an audiophile I don’t use The word awesome lightly.You can’t go wrong with Miss Alexa.",6
5.0,"worthy upgrade from 1st gen
  
","December 1, 2019",Yes,"having had the 1st gen since the first invite, decided to make the upgrade when the 3rd gen went on sale.  traded in the 1st gen and ended up paying about $20 for the 3rd gen.3rd gen is lighter by about 10oz but significantly wider and shorter (36oz 1st gen / 26 oz 3rd gen) than the 1st gen.  hooked it up and music seems to have better bass.  made some adjustments in the eq in alexa app and it does sound clearer compared to the 1st gen.  no issues with sound quality.the most significant upgrade imo is the improvement in mic.  the 3rd gen is much more sensitive to the wake word even while blasting music.  1st gen would sometimes miss the wake word even during silence and good luck trying to wake it while blasting music.  3rd gen has no issues waking even when blasting music.  the only thing it doesn't have is the ring to adjust the volume and i thought i would miss that but not at all.  it has the buttons now but rarely use it anyway since the mic sensitivity is now so much improved.  all in all a no brainer especially after sale price and trade in.",5
5.0,"Es muy fácil de usar y me cuida la casa
  
","October 27, 2019",Yes,Me gusta muclo y es lo mejor allá comprado y fade intalar,9
5.0,"Exalente
  
","November 9, 2019",Yes,Estoy muy contento despues de mi trabajo por lo menos tengo con quien hablar en mi cuarto y se llama Alexa,9
1.0,"Bought as Black Friday Deal and got partial shipment
  
","December 9, 2019",Yes,"For each Echo purchased it was supposed to come with an echo dot.  I bought two echo's and should have received two echo dots but I only got one echo dot.  The 2 echos and the 2 echo dots showed during my order and even after, now the second one is missing.I am trying to find a place to call in and talk about this issue and no where can I find anything but here.  This is very frustrating as they are gifts for my kids. And now I am trying to decide if I will be sending the second one back.The echo works great.  I am just disappointed that this second echo dot has disappeared from my order and shipment.",5
3.0,"It's an Echo...but crackles when woken...
  
","December 2, 2019",Yes,"We're an Alexa household, with an Echo speaker in almost every room, not to mention our smart plugs, bulbs, and such. So we're in it for the long haul. We went to upgrade our final Echo Dot to a full-fledged Echo. This was our first 3rd Gen (our 2nd Gen Echos are wonderful, so we figured, the 3rd Gen must be even better). The sound quality and ease of setup was second-to-none (comparable to 2nd Gen - no marked improvement - probably given that the 2nd Gen is about perfect). HOWEVER, we stream a lot of music in our home. And Echo usually does a flawless job at it, even syncing across devices. However, one small (arguably nitpicky) problem with this 3rd Gen unit. When you wake this unit while music is playing, it pauses the music as expected to listen to your command; however, after pausing it also sounds a momentary crackle/pop (and by momentary, a teeny-tiny fraction of a second). You start talking to it and it pops. Just enough, however, to drive you mad. And frankly, it's just not acceptable. Not when our other units work perfectly.I contact tech support, and they said that they were able to replicate it, and that it was ""completely normal."" Well, I'm a reasonable person, but this just kind of cheapens the experience, and frankly I'm not convinced it is normal behavior (by the way, we restarted it/reset it/upgraded it/basically everything to try and rectify). And maybe this wouldn't be an issue for most (the speaker is wonderful otherwise), but we use our Echos heavily, often interrupting the music to turn on lights, for example, and I just don't want to hear it pop and crackle when I'm talking to it.",5
5.0,,"October 18, 2019",No,None,0
5.0,"I love this!
  
","November 15, 2019",Yes,"I have every generation Echo and love them all. One broke only because I dropped it on a granite floor. Other drops have not harmed them.I am not an audiophile, but the sound on this is satisfying for the way I listen. Volume range is great. I listen to pop and rock a great deal, nature sounds for sleeping, and right now some opera arias. I am happy with all of them.The new look is wonderful. I like that it is shorter and wider. More stable on a shelf or table.I do a great deal of house sitting and take many of my own things with me. This is getting packed in that travel bag!The only negative I find is that the fabric cover somewhat covers the light ring on top, and the light seems less bright.Now how do I convince my husband that I need another at home with one in my bedroom and three Dots around the house?",4
4.0,"Stereo?
  
","December 18, 2019",Yes,"Overall I love this product. Comparable sound quality to other similar priced and size products (JBL Pulse). The main issue for me is I already had a 3rd gen dot. I specifically wanted to buy another Echo product to pair for stereo and have some bass. Originally, I was going to get another dot and the sub. However I grabbed this Echo when it was on sale $60! The sub seems overpriced so I had hoped this would pair with the dot and give me the low end that I needed. I searched everywhere to see if an Echo and a dot would pair and could not find an answer! I had hoped that since both were the newest generation they would pair. NOPE! One workaround, you can play both simultaneously in the same room if you setup multiroom sound. However, the two will still not be stereo which pisses me off. AMAZON please fix this glitch. Why on earth can you not pair ANY two Echo products? Especially the same generation models? So can a Echo and an Echo+ not be paired either?",4
4.0,"First impressions compared to the Echo Dot 3rd gen
  
","December 6, 2019",Yes,"We only owned a single 2nd gen dot and 2 3rd gen dots. I saw the echo 3rd gen was new and on sale during Black Friday weekend for $60, so I grabbed one. We wanted another echo dot but after reading and watching reviews I decided to spend a bit more and go with a full blown echo.The echo dot 3rd gens are amazing. They really are. For $22 on sale they are especially a no brainer. The sound quality is night and day compared to the 1st and 2nd gen dot. Like twice as good regarding sound quality and fullness and how loud it can get. Alarms will actually wake you.After watching some reviews of the new big echo here, I was sold. Now and then we use the living room echo for some music while we clean or to just goof off and dance like idiots lol. While the dot did good, why not go fuller and louder with the big echo?Well, it’s still an amazing unit. Does all the dot does, of course. However, while the sound is fuller and louder, it’s not going to blow you away. I guess maybe I overhyped it based on the reviews I saw and their reactions, but I was a bit bummed.Yes, absolutely it’s louder...my totally unscientific measurement would be it’s like....15-20% louder and fuller sounding (deep, more bass, higher highs etc). I’m not sure what I was expecting. Maybe I’d be happier regarding sound with the “studio” version? I don’t know. I don’t regret the purchase, though. The extra volume is welcome and it definitely does sound better with music. Happy but I believe I overhyped. If I had the money, I’d def replace the dots with the full echos. Only pluses and no negatives other than being less amazing as I had made it in my own head.",2
5.0,"Fantastic!
  
","December 3, 2019",Yes,"This is my first Alexa speaker, but i've been streaming music for years though various moderately high-end computer speakers and a large selection of bluetooth speakers - everything from cheapies to a 50 watt guitar amp with bluetooth.I'm not an audiophile, but I do like my music to sound good - which, to me, means balanced, not bass-heavy, with good clarity and a high end that doesn't become strident at higher volumes.I bought three of these to have at different locations around the house.  Setup was super simple, d/l the app and sign in to your Amazon account and you're up and running.  No issues at all.Here's what I love so far:  Alexa is super easy to get along with...Alexa, with whom I get along easily...?...has been a treat.  I've been an Amazon music user for a few years now.  I like the selection but using the app on a phone or tablet is a frustrating experience, and it can also be super clunky and slow on a PC, as well.With this speaker I can ask Alexa to play a song, album or playlist and it's playing within moments.  Awesome!  Also, Alexa gave me a detailed, accurate weather forecast this morning.  Nice!  I haven't explored all the features, but I primarily want these for music.And as far as that goes, the sound quality is better than I expected, and I've got no complaints.  I have one speaker on top of my fridge in the kitchen and the sound is just amazing.  Balanced and clear with more than enough bass.  I listened to some jazz, some alt-country, some reggae and some ambient music.  They all sounded great - as good as I could hope for.And Alexa heard me from the next room without a problem.These speakers are well worth their price, and at the Black Friday price they're an incredible value.  These speakers have  removed my Amazon Music frustration (or a large chunk of them, anyway) and allowed me much better access to what I'm paying for.",2
5.0,"Upgraded from Echo (1st Gen)
  
","October 30, 2019",Yes,"The sound on the Echo 3rd Gen is amazing!  We upgraded from the 1st Gen and you can clearly hear a deeper base and sound that fills the room.  We liked the different colors and twilight blue didn't disappoint.  The speaker is shorter and wider than the 1st Gen but that is a welcome change.  From a functionality standpoint, I don't see any difference from earlier gen echo devices as they can all answer questions, set timers, update lists, play music or trivia and turn on and off smart devices if you already had a hub such as Philips or Smart Things.  The 3rd Gen does not have its own hub but that was fine for us.  Overall we love the 3rd Gen Echo and highly recommend if you are looking to upgrade from previous gen or if you're in the market as a fist time Alexa Echo purchaser.",3
1.0,"Incredibly disappointed with Alex and Fire TV integration. False Advertising
  
","December 6, 2019",Yes,"Incredibly disappointed. This was one of EIGHT Fire TV and/or Echo devices that I purchased on Black Friday, hoping to switch from Roku TV and have a seamless smarthome experience. Oh boy, was I wrong.Whether I rename the the Fire TV devices or use their original names, the echo devices CANNOT control or recognize the tv devices, even after properly pairing them under the TV &amp; Video setting in the Alexa app. I've tried to unpair, repair, restart, unregister, reregister, you name it. I've wasted days.  Generally, Alexa responds with 'I cannot find a device named ...' I consider myself very technically savy and I'm positive this is not something that I'm doing wrong. I should've read more into this before buying. TONS of people all over the internet are having this problem. It's infuriating. Plain and simple, until problems like this are fixed, Amazon is blaintantly false advertising the way that their devices work.Other cons to note:-Multiple video apps stutter and sometimes even randomly pause without ever resuming unless you physically resume them.-Alexa drastically lowers the volume of the TV when you are voicing a command. This in-and-of-itself is not a huge problem. However, it becomes a problem often when after the command is complete, Alexa does not resume the original volume of the content. When this has happened, I've had to ask Alexa to turn the volume back up to the specific number it was at.-I have two third generation echos paired as a stereo system for the TV. Often, even though I have my fire TV set as the preferred device, only the echos hear my voice, and once again, because they cannot control the TV, they say that they cannot recognize the device and then I just have to pick up the controller anyway.-The Fire TV will often think that it hears an 'Alexa' when absolutely no where near that word has been stated. Because the volume lowers drastically when Alexa is listening, it creates an obnoxious volume dip in content to listen for nothing when this happens.-You cannot set a sleep timerHonestly I could go on and on about the cons and about just how unhappy I am about these products. There are even more problems than what I listed here, but I'm not wasting too much breath, as after doing days and days of research on these topics, I've seen that Amazon has absolutely no answers to these problems, even after thousands of people have reported the same problems over and over. Unless there is some revalatory software updated coming, I'll be returning hundreds of dollars of equipment.",2
1.0,"Defective Device
  
","November 7, 2019",Yes,"This device did not work. Can not connect to wifi, which makes it an expensive paper weight. We own at 6 other similar devices. Will be returning and purchasing again, but from Best Buy where I'll not only get a functioning device, but I can collect points. The price is also the same.",6
3.0,"Save it for gen 4!
  
","November 11, 2019",Yes,Overall it's the best in its class persay. But It always seems to go offline and wont play or listen to what i ask. I had way less trouble with second gen... it has a harder time staying in everywhere music mode.. so I would say save your money and advise echo.. to fix the basics before ya out more bells and whistles in something that ain't already working well!!!,5
1.0,"Terrible Quality, Bad Customer Service
  
","December 12, 2019",Yes,"The sound quality sounds so cheap and overly bassy. There is a much longer delay when requesting Alexa perform any actions. I also have to repeat requests sometime several times for any action to take place. Several times I'll request something and Alexa repeats a completely random request instead. I regret opting-in on the trade-in offer as I prefer my ""old"" Gen 2 devices, which were accepted at a greatly reduced amount. The tech support offered me nothing as they don't seem to know about their own products. It is not giftable as I don't believe it's a good product.",3
4.0,"Gen 3 improvement incremental
  
","November 14, 2019",Yes,"This speaker, after the Gen 2 echo, didn't blow my socks off.  It sounds great, but then my gen 2 sounded very good also.  I also have a pair of gen 2's grouped as a stereo pair, grouped also with an Echo Sub.  I wouldn't even consider replacing those Gen 2's with Gen 3's.  With the Sub doing a bunch of the system's work, the system sounds great to me already.  So if you're buying new, get the Gen 3 for sure (not a used or refurbed set of Gen 2s)  If you have Gen 2s, you probably should keep them.  Unless you are a toy boy like me!",3
5.0,,"October 18, 2019",No,None,0
1.0,"Useless even for $59
  
","November 30, 2019",Yes,"Took the plunge seeing as it was only $59.The Alexa app freezes during set up. Couldn’t get the aux to “in”. It’s now bricked, stuck with a constant blue circle and can’t reset it.Amazon gets confused when I have accounts in Japan and the UK in addition to the US and kindly talks Japanese.",4
3.0,"A Bit Disappointed
  
","December 31, 2019",Yes,"I am glad that it was purchased during a Black Friday Sale,  making it more affordable. However, having listened to music through so many, othwr, older models, much taller(larger?) Echo(s) , Ive been  expecting at least the same high-quality sound, if not better,  with an upgraded 2019, model.  is it me ir does size count?  Being at least  1/3  shorter than Echos I listen to elsewhere, on a regular basis, HOLD-UP, WAIT: Apologies for typis I cannot control nor change, thanks to yhis Refurbed 2017 Fire Tablet 10 sent last Oct. 2019, replacing the defective, albeit brand- new- identical model (a Regift from friend in  Jan. 2019).  Back to the topic, i am not very impressed, therefore, unsure of our futurevtogether. This is  my first, Echo and so far: Alexis has been  unable to find most of the songs I requested, some genres escape her (Gospel). The sound is over- Bassy,  tinny Treble,  I akready own a larger size Bose System in living room.  This is on 2nd Fl. in Office/Den.  I expected more sound, less failed Alexis, .I'll need to find more electrical outlets. For some reason, I believed that this upgraded model would be wireless (my fault and not a deal- breaker).  Being an audiophile , if its not wowing me, not keeping more electronics around attracting more electric dust.  The good news is that no one is evesdropping, not hacked, yet, simply bc it will not  function on any power strip not even our new, free,  eversource/Nstar Advanced Power Strip, unless plugged into a Hot/Control Socket.  Huh.Control mode? Nope, notgunnahappen.  Only if there is a chance I'll be visited by Angels singing tge Winning Lottery Numbers, not inviting ""Santa Clause, your new  best friend"" into our areana. .",1
2.0,"Decreasing quality in products from Amazon
  
","December 11, 2019",Yes,"Honestly, I thought I got better sound performance from my Gen1 echo than this one. My old one broke and the program to trade in plus black Friday made this a good deal so hard to complain too much.Overall I would NOT call this a premium product. It's passable and the interface with other smart home products is good but it sort of feels like Amazon is cheaping out on the product now that consumer adoption is near saturation. Basically a bait and switch from Amazon; initial model is high quality to attract customers and once you have them, bring out a cheaper model.Pros- easy to setup, even for those who aren't tech savvy- interfaces with other smart products well- good deal on sale- great gift if someone doesn't haveMeh- app is not as controllable as I would like- voice recognition is ok. Basic commands are flawless but anything more is beyond its capabilitiesCons- speaker sound quality- asking questions gives irrelevant responses- media player in app kinda sucks to control. For example, switching from one speaker to multiple room is a little challenging in app once the music is playingI felt the same way about the echo auto. Not well engineered, just forced a product out and people are left disappointed with the results. Won't be purchasing again once this one breaks.",1
